Name,Weight,Cost,Notes,Vendor,
Mill,,4L,,Mason,
,,,,Mason,
"House, urban, slum per sq ft",,1f,,Mason,
"House, urban, poor per sq ft",,3f,,Mason,
"House, urban, mid per sq ft",,6f,,Mason,
"House, urban, good per sq ft",,10f,,Mason,
"House, urban, best per sq ft",,14f,,Mason,
"House, suburban",,,50% of base price,Mason,
"Wall, Stone, per 5 sq ft(5 ft. thick)",,12d,,Mason,
"Demolition of Building, per sq ft",,1f,,Mason,
Ball and chain,4,60d,,Metalcrafter,
"Beads, copper",0.1,7d,,Metalcrafter,
"Bell, hand",1,5d,,Metalcrafter,
"Bell, tiny",0.25,3d,,Metalcrafter,
"Bell, small",0.5,4d,,Metalcrafter,
"Bell, temple",50,200d,,Metalcrafter,
"Bowl, copper",0.5,6d,,Metalcrafter,
"Bowl, pewter",0.5,4d,,Metalcrafter,
Brazier,25,100d,,Metalcrafter,
"Bucket, copper (3 gal. cap)",2,10d,,Metalcrafter,
"Cage, sm, iron (1 cubic ft)",2.5,48d,,Metalcrafter,
"Cage, med, iron (24 cubic ft)",21.5,342d,,Metalcrafter,
"Cage. Lg, iron (144 cubic ft)",160,1260d,,Metalcrafter,
"Caltrops, cavalry, per hex (4)",2,12d,,Metalcrafter,
"Candleholder, hand",0.5,4d,,Metalcrafter,
"Candlestick, iron",1,7d,,Metalcrafter,
"Cauldron, Iron",30,30d,,Metalcrafter,
"Cauldron Tripod, Iron",8,10d,,Metalcrafter,
"Chain, hv, per foot (2000 lb. cap.)",4,5d,,Metalcrafter,
"Chain, lt, per foot (500 lb. cap.)",1,2d,,Metalcrafter,
"Cooking Kit, portable",5,24d,,Metalcrafter,
"Cooking pot, copper",3,6d,,Metalcrafter,
"Cup, copper",0.25,3d,,Metalcrafter,
"Cup, pewter",0.25,2d,,Metalcrafter,
"Fishhooks, per dozen",0.1,2d,,Metalcrafter,
"Flask, Metal (1 pt. cap.)",0.2,5d,,Metalcrafter,
"Goblet, pewter",0.75,3d,,Metalcrafter,
"Horseshoe, each",0.75,1d,,Metalcrafter,
"Inkwell, copper",1,12d,,Metalcrafter,
"Knife, Kitchen",1,6d,,Metalcrafter,
"Ladle, copper",1.5,4d,,Metalcrafter,
"Mirror, bronze",2,12d,,Metalcrafter,
"Mirror, iron, silver-coated",2,20d,,Metalcrafter,
"Nails, 2 dozen",1,2d,,Metalcrafter,
"Pan, copper, small",1.5,5d,,Metalcrafter,
"Pan, copper, medium",2,8d,,Metalcrafter,
"Pan, copper, large",3,12d,,Metalcrafter,
"Pitons, iron, ½ dozen (200 lb cap.)",2,6d,,Metalcrafter,
"Piton, iron, looped (200 lb cap.)",1,5d,,Metalcrafter,
"Plate, pewter",0.5,5d,,Metalcrafter,
"Plate, tin",0.5,2d,,Metalcrafter,
"Razor, shaving",0.25,6d,,Metalcrafter,
Spigot,0.25,9d,,Metalcrafter,
Spikes,1,1.25d,,Metalcrafter,
"Spit and Stand, iron",12,15d,,Metalcrafter,
"Spoon, pewter",0.25,4d,,Metalcrafter,
"Sundial, bronze",50,225d,,Metalcrafter,
"Tankard, pewter",1,4d,,Metalcrafter,
"Trap, hunting, small",1.5,30d,,Metalcrafter,
"Trap, hunting, large",8,40d,,Metalcrafter,
"Wire, copper, per ft.",0.1,2d,,Metalcrafter,
"Caltrops, infantry, per hex (20)",1,18d,,Lia-Kavair,
"Hooked wires, per dozen",0.25,2d,,Lia-Kavair,
"Lock picks, long, per dozen",1.5,15d,,Lia-Kavair,
"Lock picks, short, per dozen",1,12d,,Lia-Kavair,
"Lock Probes, long, per dozen",0.25,8d,,Lia-Kavair,
"Lock craft Kit, portable",4,65d,,Lia-Kavair,
,,,,,
Fetters,5,30d,,Metalcrafter,
Keys,0.1,2d,,Metalcrafter,
"Lock, door, heavy-duty",2,30d,,Metalcrafter,
"Lock, door, large",1,20d,,Metalcrafter,
"Lock, door, small",0.75,45d,,Metalcrafter,
"Lock, miniature",0.25,90d,,Metalcrafter,
"Lock, padlock",0.5,35d,,Metalcrafter,
"Lock, padlock, heavy-duty",1.5,50d,,Metalcrafter,
,,,,Metalcrafter,
"Lockbox, lg (20 lb. cap)",5,24d,,Metalcrafter,
"Lockbox, sm (5 lb. cap)",3,12d,,Metalcrafter,
,,,,Metalcrafter,
"Lock pick Kit, lg (+20 EML)",10,50d,,Metalcrafter,
"Lock pick Kit, sm",6,40d,,Metalcrafter,
Adze,2.5,15d,,Metalcrafter,
"Axe, Feller’s",6,78d,,Metalcrafter,
"Axe, Wood",2,24d,,Metalcrafter,
"Axle, wagon",12,6d,,Metalcrafter,
"Bradawl, 1/10” tip",0.25,3d,,Metalcrafter,
Branding Iron,3,18d,,Metalcrafter,
Chisel,0.75,6d,,Metalcrafter,
Coin Balance,0.5,52d,,Metalcrafter,
Crowbar,5.5,9d,,Metalcrafter,
"File, jeweler’s",0.1,7d,,Metalcrafter,
"File, metal",0.75,15d,,Metalcrafter,
"Grappling Hook, Heavy (300 lb. cap)",2,35d,,Metalcrafter,
"Grappling Hook, Light (150 lb. cap)",2,10d,,Metalcrafter,
"Hammer, carpenter’s",2,5d,,Metalcrafter,
"Hammer, jeweler’s",0.1,7d,,Metalcrafter,
"Hammer, sledge (blacksmith’s)",8,24d,,Metalcrafter,
Hand drill,3.5,40d,,Metalcrafter,
Harpoon,5,3d,,Metalcrafter,
"Hatchet, wood",2,6d,,Metalcrafter,
Hoe,4,3d,,Metalcrafter,
"Pick, miner’s",8,8d,,Metalcrafter,
"Pincers, carpenter’s",0.75,5d,,Metalcrafter,
Pitchfork,5,6d,,Metalcrafter,
"Pliers, jeweler’s",1.25,8d,,Metalcrafter,
"Plough, metal blade",12,72d,,Metalcrafter,
"Saw, keyhole",0.5,10d,,Metalcrafter,
"Saw, metal",0.5,20d,,Metalcrafter,
"Saw, 2-person",12,72d,,Metalcrafter,
Scales & Weights,7.5,144d,,Metalcrafter,
Scythe,5,24d,,Metalcrafter,
Sickle,3,72d,,Metalcrafter,
Spade/Shovel,7,8d,,Metalcrafter,
Spurs,0.25,18d,,Metalcrafter,
"Tongs, blacksmith’s",2.25,3d,,Metalcrafter,
"Tweezers, jeweler’s",0.05,1.25d,,Metalcrafter,
"Wedge, splitting",3,18d,,Metalcrafter,
"Wedge, staying",1,225d,,Metalcrafter,
Whetstone,3,36d,,Metalcrafter,
Bonding Fee,,,1% per mo,Mercantyler,
"Brokerage, Mangai Hall",,,5%,Mercantyler,
"Caravan Fee, Afoot",,2d,per lg,Mercantyler,
"Caravan Fee, Cart",,6d,per lg,Mercantyler,
"Caravan Fee, Horse",,4d,per lg,Mercantyler,
"Caravan Fee, Wagon",,12d,per lg,Mercantyler,
Caravan Fees for Mercantylers,,,50% of base price,Mercantyler,
Currency Exchange,,,20%,Mercantyler,
"Freight, Overland, per 5 leagues",,20d,per ton,Mercantyler,
"Freight, Sea, per 5 leagues",,4d,per ton,Mercantyler,
Guild Dues,,,10%,Mercantyler,
"Guild Dues, Miners",,,20%,Mercantyler,
Hawking Tax,,,10%,Mercantyler,
"Loan, Local Trade",,,5% per mo,Mercantyler,
"Loan, Overland Trade",,,10% per mo,Mercantyler,
"Loan, Sea Trade",,,20% per mo,Mercantyler,
"Loan, Secured",,,1% per mo,Mercantyler,
Market Stall Fee (foreign/unguilded),,1d,per day,Mercantyler,
,,,,Mercantyler,
Retail Pricing,,,100% of listed cost,Mercantyler,
Trade Pricing,,,75% of listed cost,Mercantyler,
Wholesale Pricing,,,50% of listed cost,Mercantyler,
"Light Foot Soldier, Wage",,1d,per day,Mercenary,
"Light Foot Soldier, Support",,1d,per day,Mercenary,
"Light Foot Soldier, Wage",,24d,per mo.,Mercenary,
"Light Foot Soldier, Support",,24d,per mo.,Mercenary,
"Medium Foot Soldier, Wage",,2d,per day,Mercenary,
"Medium Foot Soldier, Support",,1.25d,per day,Mercenary,
"Medium Foot Soldier, Wage",,48d,per mo.,Mercenary,
"Medium Foot Soldier, Support",,30d,per mo.,Mercenary,
"Heavy Foot Soldier, Wage",,3d,per day,Mercenary,
"Heavy Foot Soldier, Support",,1.5d,per day,Mercenary,
"Heavy Foot Soldier, Wage",,72d,per mo.,Mercenary,
"Heavy Foot Soldier, Support",,36d,per mo.,Mercenary,
,,,,Mercenary,
"Light Cavalry, Wage",,4d,per day,Mercenary,
"Light Cavalry, Support",,3d,per day,Mercenary,
"Light Cavalry, Wage",,96d,per mo.,Mercenary,
"Light Cavalry, Support",,72d,per mo.,Mercenary,
"Medium Cavalry, Wage",,8d,per day,Mercenary,
"Medium Cavalry, Support",,3.5d,per day,Mercenary,
"Medium Cavalry, Wage",,192d,per mo.,Mercenary,
"Medium Cavalry, Support",,84d,per mo.,Mercenary,
"Heavy Cavalry, Wage",,12d,per day,Mercenary,
"Heavy Cavalry, Support",,4d,per day,Mercenary,
"Heavy Cavalry, Wage",,288d,per mo.,Mercenary,
"Heavy Cavalry, Support",,96d,per mo.,Mercenary,
,,,,Mercenary,
"Short bow Archer, Wage",,2d,per day,Mercenary,
"Short bow Archer, Support",,1.5d,per day,Mercenary,
"Short bow Archer, Wage",,48d,per mo.,Mercenary,
"Short bow Archer, Support",,30d,per mo.,Mercenary,
"Longbow Archer, Wage",,3d,per day,Mercenary,
"Longbow Archer, Support",,1.5d,per day,Mercenary,
"Longbow Archer, Wage",,72d,per mo.,Mercenary,
"Longbow Archer, Support",,36d,per mo.,Mercenary,
,,,,Mercenary,
"Engineer, Wage",,2d,per day,Mercenary,
"Engineer, Support",,1.5d,per day,Mercenary,
"Engineer, Wage",,48d,per mo.,Mercenary,
"Engineer, Support",,36d,per mo.,Mercenary,
Amber,1,265d,,Miner,
Brass,1,3d,,Miner,
Bronze,1,4d,,Miner,
Copper,1,2d,,Miner,
Gold,1,6400d,,Miner,
Iron,20,1d,,Miner,
Jade,1,2665d,,Miner,
Lead,1,1f,,Miner,
Mithral,1,32000d,,Miner,
Pewter,1,3d,,Miner,
Silver,1,320d,,Miner,
Steel,1,1d,,Miner,
"Steel, Khúzan",1,5d,,Miner,
Tin,1,2d,,Miner,
Zinc,1,16d,,Miner,
,,,,,
"Agate, uncut, per carat",,2d,2-3x cut wgt,Miner,
"Amber, uncut, per carat",,2f,2-3x cut wgt,Miner,
"Bloodstone, uncut, per carat",,3d,2-3x cut wgt,Miner,
"Carnelian, uncut, per carat",,5d,2-3x cut wgt,Miner,
"Jet, uncut, per carat",,1f,2-3x cut wgt,Miner,
"Moonstone, uncut, per carat",,6d,2-3x cut wgt,Miner,
"Onyx, uncut, per carat",,4d,2-3x cut wgt,Miner,
"Opal, uncut, per carat",,16d,2-3x cut wgt,Miner,
"Pearl, uncut, per carat",,2d,2-3x cut wgt,Miner,
"Quartz, uncut, per carat",,1d,2-3x cut wgt,Miner,
"Spinel, uncut, per carat",,8d,2-3x cut wgt,Miner,
,,,,,
"Chrysolite, uncut, per carat",,100d,2-3x cut wgt,Miner,
"Diamond, uncut, per carat",,160d,2-3x cut wgt,Miner,
"Emerald, uncut, per carat",,140d,2-3x cut wgt,Miner,
"Garnet, uncut, per carat",,80d,2-3x cut wgt,Miner,
"Jankorez, uncut, per carat",,240d,2-3x cut wgt,Miner,
"Ruby, uncut, per carat",,200d,2-3x cut wgt,Miner,
"Sapphire, uncut, per carat",,180d,2-3x cut wgt,Miner,
"Topaz, uncut, per carat",,120d,2-3x cut wgt,Miner,
Tapestry (Embroiderer),20,200d,,Miscellaneous,
"Marbles, Glass, per dozen (Tinker)",1,10d,,Miscellaneous,
"Marbles, Stone, per dozen (Tinker)",1,5d,,Miscellaneous,
"Seat, Poor (Pamesani Games)",,2f,,Miscellaneous,
"Seat, Good (Pamesani Games)",,12d,,Miscellaneous,
Portage (Porter),,1d,per day,Miscellaneous,
"Translate mdrn lang, verbal (Scribe)",,1d,per 50 wd,Miscellaneous,
"Translate mdrn lang, written (Scribe)",,8d,per 50 wd,Miscellaneous,
"Blanket, horse",2.5,24d,,Ostler,
Bridle,1,12d,,Ostler,
"Collar, horse",2,18d,,Ostler,
"Comb, horse",0.25,3d,,Ostler,
Fodder,10,1f,,Ostler,
"Harness, Horse",8,20d,,Ostler,
"Harness, Ox",7,20d,,Ostler,
Pack Harness,,24d,,Ostler,
Saddle Bag (15 lb. cap),3,36d,,Ostler,
"Saddle, Riding",10,85d,,Ostler,
"Saddle, War",20,250d,,Ostler,
,,,,Ostler,
Ass,550,,,Ostler,
Burro,350,,,Ostler,
Donkey,450,120d,,Ostler,
"Horse, Draft (Cart)",1400,180d,,Ostler,
"Horse, Plough",1200,240d,,Ostler,
"Horse, Hacherdad",1500,600d,,Ostler,
"Horse, Hodiri",800,450d,,Ostler,
"Horse, Khanset",1000,360d,,Ostler,
"Horse, Lankhum",1200,480d,,Ostler,
"Horse, Reksyni",1800,800d,,Ostler,
Mule,700,180d,,Ostler,
"Pony, Chelni",700,420d,,Ostler,
,,,,Ostler,
"Grooming, Horse",,2f,per day,Ostler,
"Stabling, Horse",,1d,per day,Ostler,
"Stabling, Horse (w/ Feed)",,2d,per day,Ostler,
"Shoeing, Horse",,2d,each,Ostler,
Tack-Repair,,4d,per day,Ostler,
Veterinarian Care,,6d,per day,Ostler,
Blusher,,8d,,Perfumer,
Eye Shader,,14d,,Perfumer,
"Foundation Cream, white",,3d,,Perfumer,
"Incense, per oz",,12d,,Perfumer,
Lipstick,,7d,,Perfumer,
"Perfume, generic, cheap",,10d,,Perfumer,
"Perfume, generic, expensive",,124d,,Perfumer,
"Soap, per oz",,4d,,Perfumer,
"Talc, per oz",,,,Perfumer,
,,,,Perfumer,
"Oil, Cinnamon, per oz",,64d,,Perfumer,
"Oil, Myrtle, per oz",,29d,,Perfumer,
"Oil, Rose, per oz",,24d,,Perfumer,
,,,,Perfumer,
"Spice, Ambergris, per oz",,180d,,Perfumer,
"Spice, Bdellium, per oz",,40d,,Perfumer,
"Spice, Camphor, per oz",,50d,,Perfumer,
"Spice, Frankincense, per oz",,70d,,Perfumer,
"Spice, Myrrh, per oz",,150d,,Perfumer,
"Spice, Nard, per oz",,100d,,Perfumer,
"Bandages, per injury level",,1d,,Physician,
First aid bag w/ instr. (3 lb. cap.),1,36d,,Physician,
First-Aid,,3d,,Physician,
"Herbal Ointments, per injury level",,3d,,Physician,
"Medical Care, per injury level",,20d,per day,Physician,
Surgery,,240d,,Physician,
"Sutures, per injury level",,20d,,Physician,
Astrolabe,2,300d,,Pilot,
Compass,3,1000d,,Pilot,
Cross-Staff,1,200d,,Pilot,
"Cross-Staff, Ornamented",1,1500d,,Pilot,
Quadrant,2,75d,,Pilot,
Amphorae / Azeryani (7 gal cap.),14,14d,,Potter,
Amphorae / Karejian (9 gal cap.),18,18d,,Potter,
Amphorae / Lerenil (15 gal cap.),28,28d,,Potter,
"Baking Dish, sm (2 pt cap.)",1.7,3d,,Potter,
"Baking Dish, lg (4 pt cap.)",2.8,5d,,Potter,
"Baking Dish w/ lid, sm (2 pt cap.)",2.8,5d,,Potter,
"Baking Dish w/ lid, lg (4 pt cap.)",4.5,8d,,Potter,
"Basin, sm (4 pt cap.)",3.4,6d,,Potter,
"Basin, lg (1 gal cap.)",3.9,7d,,Potter,
"Beads, decorative, per dozen",2.7,6d,,Potter,
"Brick, fire clay, 8”x3¾ “x2¼“",3.4,6d,,Potter,
Bottle (2 pt cap.),0.6,1d,,Potter,
"Bowl, serving, sm (1 pt cap.)",1.1,2d,,Potter,
"Bowl, serving, med (2 pt cap.)",2.3,4d,,Potter,
"Bowl, serving, lg (4 pt cap.)",3.4,6d,,Potter,
"Box, lidded, (spices, etc) (½ pt cap.)",0.9,2d,,Potter,
"Box, lidded, (mny, etc) (1 pt cap.)",1.7,3d,,Potter,
Candle Holder,1.1,2f,,Potter,
Chamber Pot,3.4,6d,,Potter,
"Crucible, (alch, jwlr) (¼ pt cap.)",0.9,2d,,Potter,
"Crucible, (glass, miner) (1 pt cap.)",2.3,4d,,Potter,
"Crucible, (miner) (2+ pt cap.)",3.4,6d,,Potter,
Drinking beaker (½ pt cap.),1.3,3f,,Potter,
Drinking cup (½ pt cap.),0.4,1d,,Potter,
Drinking tankard (1 pt cap.),1.1,2d,,Potter,
Drinking flagon (2 pt cap.),2.3,4d,,Potter,
"Gaming Pieces, 1”, per dozen",1.7,3d,,Potter,
"Icon, religious, 4”",0.9,2d,,Potter,
"Icon, religions, 8”",1.8,4d,,Potter,
Inkpot/ w lid & waxed leather gasket,2.3,4d,,Potter,
"Jar, lidded, sm (1 pt cap.)",1.7,3d,,Potter,
"Jar, lidded, med (2 pt cap.)",2.8,5d,,Potter,
"Jar, lidded, lg (1 gal cap.)",6,8d,,Potter,
"Jar, acid storage/preserving, lidded, w/ waxed leather gasket and securing wire/thong (1 pt cap.)",2.3,4d,,Potter,
"Jar, acid storage/preserving, lidded, w/ waxed leather gasket and securing wire/thong (2 pt cap.)",3.4,6d,,Potter,
"Jar, ointment, w/ soft wood/cork stopper, tiny (½ oz cap.)",0.9,2f,,Potter,
"Jar, ointment, w/ soft wood/cork stopper, sm (1 oz cap.)",0.4,1d,,Potter,
"Jar, ointment, w/ soft wood/cork stopper, med (2 oz cap.)",0.7,1.5d,,Potter,
"Jar, ointment, w/ soft wood/cork stopper, lg (4 oz cap.)",1.1,2d,,Potter,
"Jug, w/ soft wood/cork stopper,
 sm (4 pt cap.)",3.9,7d,,Potter,
"Jug, w/ soft wood/cork stopper,
 lg (1 gal cap.)",5.1,9d,,Potter,
"Lamp, simple bowl",1.1,2f,,Potter,
"Lamp, enclosed bowl",1.1,2d,,Potter,
"Lamp, pedestal",0.6,1d,,Potter,
"Loom Weight, unglazed earthenware",0.6,1f,,Potter,
"Mortar and Pestle, unglazed stoneware (1 pt cap.)",3.4,6d,,Potter,
"Molds, unglazed stoneware (candle, cake)",3.4,6d,,Potter,
"Pan, chafing",1.1,2d,,Potter,
"Pan, dripping",1.1,2d,,Potter,
Pitcher (2 pt cap.),2.3,4d,,Potter,
"Pipe, smoking",1.1,2d,,Potter,
Pipkin (pot w/ handle) (1 pt cap.),1.7,3d,,Potter,
Pipkin (pot w/ handle) (2 pt cap.),2.3,4d,,Potter,
Pipkin (pot w/ handle) (4 pt cap.),3.4,6d,,Potter,
"Plate, dining",0.6,1d,,Potter,
"Plate, serving",0.6,1d,,Potter,
Platter,1.7,3d,,Potter,
"Pot, cooking, sm (2 pt cap.)",1.1,2d,,Potter,
"Pot, cooking, lg (4 pt cap.)",2.3,4d,,Potter,
"Pot, infusing (tea, etc.) (1 pt cap.)",2.3,4d,,Potter,
"Seal, wax imprinting",1.7,3d,,Potter,
Skillet,1.7,3d,,Potter,
Spindlewhorl (used for spinning thread),1.1,2f,,Potter,
"Tile, decorative, 4”x4”x½“",1.1,2d,,Potter,
"Tile, fire clay, 4”x2”x1”",1.1,2f,,Potter,
"Tile, fire clay, 4”x4”x1”",0.6,1d,,Potter,
"Tile, roof ridge, 8”x12”x½“",0.6,1d,,Potter,
"Urn, Azeryani (3.5 gal cap.)",6,8d,,Potter,
"Urn, Hârnic (5 gal cap.)",9,12d,,Potter,
Vase,2.3,4d,,Potter,
,,,,Potter,
"Clay Body, ready to use",100,20d,,Potter,
Bowstring,0,2d,,Ropemaker,
"Fishing Line, per 10 ft.",,2d,0.1 lb/foot,Ropemaker,
"Net, Weighted, per 5 ft sq.",,48d,4.5 lb/foot,Ropemaker,
"Rope, ½” hemp, per ft (330 lb cap.*)",,1d,0.08 lb/foot,Ropemaker,
"Rope, 1” hemp, per ft (1,125 lb cap. *)",,2d,0.27 lb/foot,Ropemaker,
"Rope, 2” hemp, per ft (3,875 lb cap. *)",,4d,1.08 lb/foot,Ropemaker,
"Rope, 3” hemp, per ft (8,000 lb cap. *)",,8d,2.42 lb/foot,Ropemaker,
"Rope, ¼” silk, per ft (225 lb cap. *)",,16d,0.02 lb/foot,Ropemaker,
"Rope, ½” silk, per ft (1000 lb cap. *)",,32d,0.08 lb/foot,Ropemaker,
String,,2d,0.1 lb/foot,Ropemaker,
Tackle Block,,5d,2.5 lb/foot,Ropemaker,
"Twine, per 10 yards (5 lb. cap.)",,4d,0.2 lb/foot,Ropemaker,
"Assoc. Membership, Chippy",,12d,per year,Longshoreman,
"Assoc. Membership, Supercargo",,12d,per year,Longshoreman,
Loading,,1d,per tun,Longshoreman,
,,,,,
"Berth, cabin",,1d,per lg,Ship-owner,
"Berth, steerage",,1f,per lg,Ship-owner,
"Charter, per tun",,12d,per day,Ship-owner,
"Food, cabin",,2d,per day,Ship-owner,
"Food, steerage",,1d,per day,Ship-owner,
"Anchor, small",25,12d,,Shipwright,
"Anchor, large",52,18d,,Shipwright,
Buoy,6,24d,,Shipwright,
"Canoe (1-2 crew, 500 lb. cap.)",68,300d,,Shipwright,
"Cloth, Canvas per sq yd",4,10d,,Shipwright,
"Kayak (1 crew, 250 lb. cap.)",47,192,,Shipwright,
Mast per ft,3.75,6d,,Shipwright,
"Oar, normal",7,5d,,Shipwright,
"Oar, kayak",8,10d,,Shipwright,
"Pinda (2 crew, 4000 lb. cap.)",,675d,,Shipwright,
"Raft (1 crew, 2000 lb. cap.)",73,65d,,Shipwright,
"Rowboat (1 crew, 4000 lb. cap.)",,121d,,Shipwright,
"Spares, General Ship",,100d,,Shipwright,
,,,,Shipwright,
"Dak, per sq ft(48 – 84 ft)",,7d,,Shipwright,
"Dragonship, per sq ft(60 – 120 ft)",,6d,,Shipwright,
"Karune, per sq ft(60 – 96 ft)",,8d,,Shipwright,
"Laru, per sq ft(60 – 150 ft)",,5d,,Shipwright,
"Laru-Mar, per sq ft(60 – 150 ft)",,6d,,Shipwright,
"Nivik, per sq ft(24 – 60 ft)",,5d,,Shipwright,
"Pinda, per sq ft(12 – 21 ft)",,3d,,Shipwright,
"Raem, per sq ft(48 – 84 ft)",,5d,,Shipwright,
"Talbar, per sq ft(24 – 42 ft)",,4d,,Shipwright,
"Venar, per sq ft(24 – 60 ft)",,4d,,Shipwright,
"Slave, Gladiator",,480d,,Slaver,
"Slave, Laborer",,240d,,Slaver,
"Slave, Personal",,300d,,Slaver,
Awnings,10,18d,,Tentmaker,
"Back bag, sm, canvas(15 lb. cap.)",1,4d,,Tentmaker,
"Bag, sm, canvas(10 lb. cap.)",1,2d,,Tentmaker,
"Bag, lg, canvas(20 lb. cap.)",3,20d,,Tentmaker,
"Flysheet, for dome tent",9.75,24d,,Tentmaker,
"Marquee, sm - 27 lb. frame (8’x12’)",65,216d,,Tentmaker,
"Marquee, lg - 44 lb. frame (12’x24’)",255,1200d,,Tentmaker,
Tarpaulin (9’x12’),18,45d,,Tentmaker,
"Tent Conical - 12 lb. frame (3-man, 5’ diam.)",38,66d,,Tentmaker,
"Tent Dome - 8.5 lb. frame (3-man, 7’ diam)",25,216d,,Tentmaker,
Tent Military - 36 lb. frame (12’x8’),90,312d,,Tentmaker,
"Tent Ridged, sm - 4½ lb. frame (1-man, 6’x2¾’)",22,102d,,Tentmaker,
"Tent Ridged, lg – 5½ lb. frame (2-man, 7’x3½’)",31,144d,,Tentmaker,
"Sack, canvas",1.75,5d,,Tentmaker,
"Stall, canvas w/ 19 lbs. wood (3’x6’)",38,24d,,Tentmaker,
"Basket, small",2.5,2d,,Thatcher,
"Basket, laundry",8,6d,,Thatcher,
"Basket, wood (25 lb. firewood cap.)",4,3d,,Thatcher,
Broom,1,1d,,Thatcher,
"Fence, 4’ high, per foot",3.25,1.75d,,Thatcher,
Hay,1,1d,,Thatcher,
"Wood, coppiced, hazel, per bushel",45,5d,,Thatcher,
"Wood, coppiced, willow, per bushel",45,7d,,Thatcher,
"Wood, Ash, 10 cubic feet",380,12d,,Timberwright,
"Wood, Birch, 10 cubic feet",380,4d,,Timberwright,
"Wood, Cedar, 10 cubic feet",320,8d,,Timberwright,
"Wood, Elm, 10 cubic feet",290,10d,,Timberwright,
"Wood, Fir, 10 cubic feet",350,12d,,Timberwright,
"Wood, Larch, 10 cubic feet",340,6d,,Timberwright,
"Wood, Maple, 10 cubic feet",390,14d,,Timberwright,
"Wood, Oak, 10 cubic feet",400,18d,,Timberwright,
"Wood, Pine, 10 cubic feet",290,8d,,Timberwright,
"Wood, Spruce, 10 cubic feet",360,6d,,Timberwright,
"Anchorage, per 5 ft",,1d,per day,Port,
Pilotage,,32d,,Port,
"Property Tax, business",,,6%,Port,
"Property Tax, residence",,,8%,Port,
"Registry, ship per ft",,50d,per year,Port,
"Wharfage, per ft",,1d,per day,Port,
"Wharfage, registered",,,50% of base price,Port,
"Shield, Buckler",3,24d,,Weapon Crafter,
"Shield, Round",6,42d,,Weapon Crafter,
"Shield, Kite",5,72d,,Weapon Crafter,
"Shield, Heater",9,60d,,Weapon Crafter,
"Shield, Scutem",12,96d,,Weapon Crafter,
,,,,Weapon Crafter,
"Arrowheads, per dozen",0.3,6d,,Weapon Crafter,
"Bastard Sword (chivalric, rare)",4,230d,,Weapon Crafter,
Battleaxe (chivalric),4,100d,,Weapon Crafter,
Bill,6,96d,,Weapon Crafter,
Broadsword (chivalric),3,150d,,Weapon Crafter,
Dagger,1,24d,,Weapon Crafter,
Estoc (chivalric),3,150d,,Weapon Crafter,
Falchion,3,120d,,Weapon Crafter,
Glaive,6,84d,,Weapon Crafter,
Great Sword (chivalric),6,230d,,Weapon Crafter,
"Halberd, Beaked",6,108d,,Weapon Crafter,
"Halberd, Blunted",6,108d,,Weapon Crafter,
Hand Axe,2,72d,,Weapon Crafter,
Javelin,,36d,,Weapon Crafter,
Jousting Pole (chivalric),8,40d,,Weapon Crafter,
Lance (chivalric),9,120d,,Weapon Crafter,
Longknife (Sindârin only),1,96d,,Weapon Crafter,
"Long Sword (chivalric, rare)",4,210d,,Weapon Crafter,
Mace & Chain (chivalric),4,60d,,Weapon Crafter,
Mace (chivalric),4,84d,,Weapon Crafter,
Morningstar,3,48d,,Weapon Crafter,
Pike,7,96d,,Weapon Crafter,
Poleaxe (chivalric),5,96d,,Weapon Crafter,
Shorkana,2,48d,,Weapon Crafter,
Short Sword,2,90d,,Weapon Crafter,
"Spear, Short",3,60d,,Weapon Crafter,
"Spear, Long",5,75d,,Weapon Crafter,
Taburi,1,20d,,Weapon Crafter,
Trident,6,72d,,Weapon Crafter,
War Flail,5,66d,,Weapon Crafter,
War Hammer (chivalric),5,90d,,Weapon Crafter,
,,,,Weapon Crafter,
Higher Quality Weapons,,,2x per +1 WQ,Weapon Crafter,
Lower Quality Weapons,,,0.5 per -1 WQ,Weapon Crafter,
"Ambergris (fixative), per oz",,180d,,Whaler,
"Horn, Narwhal",1,60d,,Whaler,
Ivory,1,75d,,Whaler,
"Oil, Whale, gallon",10,12d,,Whaler,
Whalebone,1,6d,,Whaler,
"Barrel, keg (10 gal. cap.)",8,12d,88lbs full,Woodcrafter,
"Barrel, hogshead (50 gal. cap.)",40,36d,440lbs full,Woodcrafter,
"Bucket, wooden (3 gal. cap.)",2,8d,26lbs full,Woodcrafter,
"Beads, wooden",0.1,3d,,Woodcrafter,
Block & Tackle,2,6d,,Woodcrafter,
"Bowl, wooden",0.5,2d,,Woodcrafter,
"Cage, lg, wooden (100 cubic ft)",20,30d,,Woodcrafter,
"Cage, med, wooden (27 cubic ft)",10,15d,,Woodcrafter,
"Cage, sm, wooden (1 cubic ft)",4,7d,,Woodcrafter,
"Carpentry Kit, portable",8,36d,,Woodcrafter,
Club,3,12d,,Woodcrafter,
Coffin,50,9d,,Woodcrafter,
"Cup, wooden",0.25,3f,,Woodcrafter,
"Flagon, wooden",1,3d,,Woodcrafter,
Grainflail,2,12d,,Woodcrafter,
"Kite, toy",1,4d,,Woodcrafter,
"Ladder, 8 ft. (400 lb. cap)",19,6d,,Woodcrafter,
Loom,43,26d,,Woodcrafter,
Maul,7,24d,,Woodcrafter,
